"simulation","mean_words_per_extracted_text_block"
1168,251.027777777778
1169,310.666666666667
1170,302.888888888889
1171,316.972222222222
1172,284.583333333333
1173,314.583333333333
1174,277.388888888889
1175,321.166666666667
1176,335.972222222222
1177,390.666666666667
1178,298.888888888889
1179,300.5
1180,319.305555555556
1181,289.611111111111
1182,265.972222222222
1183,255.222222222222
1184,355.305555555556
1185,269.388888888889
1186,291.166666666667
1187,287.861111111111
1188,285.611111111111
1189,312.972222222222
1190,312.166666666667
1191,282.972222222222
1192,282.833333333333
1193,317.472222222222
1194,315.666666666667
1195,339.055555555556
1196,378.611111111111
1197,327.75
1198,304.166666666667
1199,294.888888888889
1200,312.166666666667
1201,332.25
1202,268.416666666667
1203,296.694444444444
1204,336.25
1205,290.833333333333
1206,326.777777777778
1207,349.861111111111
1208,235.194444444444
1209,335.583333333333
1210,349.638888888889
1211,270.027777777778
1212,325.972222222222
1213,258.472222222222
1214,365.805555555556
1215,337.277777777778
1216,273.444444444444
1217,341.916666666667
1218,301
1219,235.361111111111
1220,316.527777777778
1221,328.722222222222
1222,289.944444444444
1223,274.194444444444
1224,309.972222222222
1225,325.277777777778
1226,301.666666666667
1227,199
1228,321.416666666667
1229,283.333333333333
1230,333.916666666667
1231,370.805555555556
1232,303
1233,316.277777777778
1234,346.805555555556
1235,287.444444444444
1236,289.277777777778
1237,265.694444444444
1238,278.666666666667
1239,352.611111111111
1240,335.222222222222
1241,360.444444444444
1242,336.138888888889
1243,227.111111111111
1244,335.833333333333
1245,326.305555555556
1246,286.277777777778
1247,338.055555555556
1248,341.694444444444
1249,298.805555555556
1250,291.861111111111
1251,261.222222222222
1252,276.444444444444
1253,295.416666666667
1254,374.361111111111
1255,351.194444444444
1256,303.916666666667
1257,292.277777777778
1258,306.694444444444
1259,263.527777777778
1260,236.833333333333
1261,351.944444444444
1262,353.361111111111
1263,310.916666666667
1264,277.472222222222
1265,353.833333333333
1266,283.611111111111
1267,323.277777777778
1268,244.916666666667
1269,327.388888888889
1270,353.777777777778
1271,309.25
1272,321.166666666667
1273,310.694444444444
1274,283.277777777778
1275,305.138888888889
1276,340.694444444444
1277,246.361111111111
1278,291.361111111111
1279,303.722222222222
1280,358.305555555556
1281,314.916666666667
1282,231.611111111111
1283,269
1284,289.972222222222
1285,235.666666666667
1286,259.416666666667
1287,276.833333333333
1288,293.777777777778
1289,302.055555555556
1290,272.694444444444
1291,321.444444444444
1292,263.416666666667
1293,272.444444444444
1294,340.861111111111
1295,350.388888888889
1296,378.583333333333
1297,349.75
1298,259.611111111111
1299,335.972222222222
1300,282.166666666667
1301,310.694444444444
1302,386.444444444444
1303,302.583333333333
1304,327.166666666667
1305,282.305555555556
1306,315.277777777778
1307,321
1308,311.916666666667
1309,315.083333333333
1310,288.638888888889
1311,268.722222222222
1312,333.805555555556
1313,290.277777777778
1314,280.555555555556
1315,299.305555555556
1316,299.111111111111
1317,238.472222222222
1318,254
1319,303.277777777778
1320,334.166666666667
1321,310.638888888889
1322,400.222222222222
1323,252.694444444444
1324,273.111111111111
1325,267.527777777778
1326,307.944444444444
1327,344.388888888889
1328,257.361111111111
1329,300.583333333333
1330,271.111111111111
1331,268.583333333333
1332,260.444444444444
1333,367.944444444444
1334,309.638888888889
1335,281.055555555556
1336,319.777777777778
1337,284.888888888889
1338,266.777777777778
1339,335.333333333333
1340,329.916666666667
1341,326.555555555556
1342,321.972222222222
1343,264.861111111111
1344,218.555555555556
1345,302.111111111111
1346,307.194444444444
1347,288.666666666667
1348,254.583333333333
1349,330.166666666667
1350,280.166666666667
1351,301.333333333333
1352,288.138888888889
1353,330.25
1354,299.722222222222
1355,191.527777777778
1356,312.027777777778
1357,358.305555555556
1358,329.194444444444
1359,318.75
1360,246.138888888889
1361,312.166666666667
1362,308.583333333333
1363,288.305555555556
1364,251.611111111111
1365,346.222222222222
1366,299
1367,305.111111111111
1368,362.333333333333
1369,345.694444444444
1370,204.611111111111
1371,240.472222222222
1372,317
1373,284.277777777778
1374,345.027777777778
1375,289.472222222222
1376,310.611111111111
1377,240.027777777778
1378,340.194444444444
1379,292.583333333333
1380,251.722222222222
1381,232.222222222222
1382,281.666666666667
1383,249.583333333333
1384,352.138888888889
1385,372
1386,312.138888888889
1387,202.833333333333
1388,345.5
1389,246.972222222222
1390,264.361111111111
1391,266.138888888889
1392,338.527777777778
1393,278.805555555556
1394,286.166666666667
1395,329.638888888889
1396,322.444444444444
1397,293.611111111111
1398,245.972222222222
1399,263.638888888889
1400,362
1401,346
1402,354.138888888889
1403,330.944444444444
1404,296.472222222222
1405,310.194444444444
1406,311.25
1407,295.888888888889
1408,332.416666666667
1409,194.666666666667
1410,265.694444444444
1411,300.416666666667
1412,359.361111111111
1413,316.666666666667
1414,273.916666666667
1415,319.611111111111
1416,411.333333333333
1417,346.388888888889
1418,272.083333333333
1419,264.388888888889
1420,273.944444444444
1421,271.75
1422,283.416666666667
1423,261.916666666667
1424,404.083333333333
1425,363.444444444444
1426,285.138888888889
1427,358.444444444444
1428,321.527777777778
1429,292.444444444444
1430,304.722222222222
1431,278.472222222222
1432,256.277777777778
1433,251.611111111111
1434,299.75
1435,295.666666666667
1436,308.166666666667
1437,330.055555555556
1438,317.527777777778
1439,345.166666666667
1440,284.972222222222
1441,412.944444444444
1442,273.361111111111
1443,290.888888888889
1444,322.027777777778
1445,227.027777777778
1446,251.916666666667
